Amount Effective from January to March 2021/Montant en vigueur en janvier à mars 2021,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel (sauf la pension de la SV et le SRG) De,Revenu annuel (sauf la pension de la SV et le SRG) ·,SRG mensuel pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"4,064.00","4,079.99",707.12,"1,322.49"
"4,080.00","4,103.99",706.12,"1,321.49"
"4,104.00","4,111.99",705.12,"1,320.49"
"4,112.00","4,127.99",704.12,"1,319.49"
"4,128.00","4,151.99",703.12,"1,318.49"
"4,152.00","4,159.99",702.12,"1,317.49"
"4,160.00","4,175.99",701.12,"1,316.49"
"4,176.00","4,199.99",700.12,"1,315.49"
"4,200.00","4,207.99",699.12,"1,314.49"
"4,208.00","4,223.99",698.12,"1,313.49"
"4,224.00","4,247.99",697.12,"1,312.49"
"4,248.00","4,255.99",696.12,"1,311.49"
"4,256.00","4,271.99",695.12,"1,310.49"
"4,272.00","4,295.99",694.12,"1,309.49"
"4,296.00","4,303.99",693.12,"1,308.49"
"4,304.00","4,319.99",692.12,"1,307.49"
"4,320.00","4,343.99",691.12,"1,306.49"
"4,344.00","4,351.99",690.12,"1,305.49"
"4,352.00","4,367.99",689.12,"1,304.49"
"4,368.00","4,391.99",688.12,"1,303.49"
"4,392.00","4,399.99",687.12,"1,302.49"
"4,400.00","4,415.99",686.12,"1,301.49"
"4,416.00","4,439.99",685.12,"1,300.49"
"4,440.00","4,447.99",684.12,"1,299.49"
"4,448.00","4,463.99",683.12,"1,298.49"
"4,464.00","4,487.99",682.12,"1,297.49"
"4,488.00","4,495.99",681.12,"1,296.49"
"4,496.00","4,511.99",680.12,"1,295.49"
"4,512.00","4,535.99",679.12,"1,294.49"
"4,536.00","4,543.99",678.12,"1,293.49"
"4,544.00","4,559.99",677.12,"1,292.49"
"4,560.00","4,583.99",676.12,"1,291.49"
"4,584.00","4,591.99",675.12,"1,290.49"
"4,592.00","4,607.99",674.12,"1,289.49"
"4,608.00","4,631.99",673.12,"1,288.49"
"4,632.00","4,639.99",672.12,"1,287.49"
"4,640.00","4,655.99",671.12,"1,286.49"
"4,656.00","4,679.99",670.12,"1,285.49"
"4,680.00","4,687.99",669.12,"1,284.49"
"4,688.00","4,703.99",668.12,"1,283.49"
"4,704.00","4,727.99",667.12,"1,282.49"
"4,728.00","4,735.99",666.12,"1,281.49"
"4,736.00","4,751.99",665.12,"1,280.49"
"4,752.00","4,775.99",664.12,"1,279.49"
"4,776.00","4,783.99",663.12,"1,278.49"
"4,784.00","4,799.99",662.12,"1,277.49"
"4,800.00","4,823.99",661.12,"1,276.49"
"4,824.00","4,831.99",660.12,"1,275.49"
"4,832.00","4,847.99",659.12,"1,274.49"
"4,848.00","4,871.99",658.12,"1,273.49"
"4,872.00","4,879.99",657.12,"1,272.49"
"4,880.00","4,895.99",656.12,"1,271.49"
"4,896.00","4,919.99",655.12,"1,270.49"
"4,920.00","4,927.99",654.12,"1,269.49"
"4,928.00","4,943.99",653.12,"1,268.49"
"4,944.00","4,967.99",652.12,"1,267.49"
"4,968.00","4,975.99",651.12,"1,266.49"
"4,976.00","4,991.99",650.12,"1,265.49"
"4,992.00","5,015.99",649.12,"1,264.49"
"5,016.00","5,023.99",648.12,"1,263.49"
"5,024.00","5,039.99",647.12,"1,262.49"
"5,040.00","5,063.99",646.12,"1,261.49"
"5,064.00","5,071.99",645.12,"1,260.49"
"5,072.00","5,087.99",644.12,"1,259.49"
"5,088.00","5,111.99",643.12,"1,258.49"
"5,112.00","5,119.99",642.12,"1,257.49"
"5,120.00","5,135.99",641.12,"1,256.49"
"5,136.00","5,159.99",640.12,"1,255.49"
"5,160.00","5,167.99",639.12,"1,254.49"
