from,to,gis,gis&oas
#Amount Effective from January to March 2021/Montant en vigueur en janvier � mars 2021,,,
#Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
#Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) � ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"19,680.00","19,727.99",520.76,"1,136.13"
"19,728.00","19,775.99",519.76,"1,135.13"
"19,776.00","19,823.99",518.76,"1,134.13"
"19,824.00","19,871.99",517.76,"1,133.13"
"19,872.00","19,919.99",516.76,"1,132.13"
"19,920.00","19,967.99",515.76,"1,131.13"
"19,968.00","20,015.99",514.76,"1,130.13"
"20,016.00","20,063.99",513.76,"1,129.13"
"20,064.00","20,111.99",512.76,"1,128.13"
"20,112.00","20,159.99",511.76,"1,127.13"
"20,160.00","20,207.99",510.76,"1,126.13"
"20,208.00","20,255.99",509.76,"1,125.13"
"20,256.00","20,303.99",508.76,"1,124.13"
"20,304.00","20,351.99",507.76,"1,123.13"
"20,352.00","20,399.99",506.76,"1,122.13"
"20,400.00","20,447.99",505.76,"1,121.13"
"20,448.00","20,495.99",504.76,"1,120.13"
"20,496.00","20,543.99",503.76,"1,119.13"
"20,544.00","20,591.99",502.76,"1,118.13"
"20,592.00","20,639.99",501.76,"1,117.13"
"20,640.00","20,687.99",500.76,"1,116.13"
"20,688.00","20,735.99",499.76,"1,115.13"
"20,736.00","20,783.99",498.76,"1,114.13"
"20,784.00","20,831.99",497.76,"1,113.13"
"20,832.00","20,879.99",496.76,"1,112.13"
"20,880.00","20,927.99",495.76,"1,111.13"
"20,928.00","20,975.99",494.76,"1,110.13"
"20,976.00","21,023.99",493.76,"1,109.13"
"21,024.00","21,071.99",492.76,"1,108.13"
"21,072.00","21,119.99",491.76,"1,107.13"
"21,120.00","21,167.99",490.76,"1,106.13"
"21,168.00","21,215.99",489.76,"1,105.13"
"21,216.00","21,263.99",488.76,"1,104.13"
"21,264.00","21,311.99",487.76,"1,103.13"
"21,312.00","21,359.99",486.76,"1,102.13"
"21,360.00","21,407.99",485.76,"1,101.13"
"21,408.00","21,455.99",484.76,"1,100.13"
"21,456.00","21,503.99",483.76,"1,099.13"
"21,504.00","21,551.99",482.76,"1,098.13"
"21,552.00","21,599.99",481.76,"1,097.13"
"21,600.00","21,647.99",480.76,"1,096.13"
"21,648.00","21,695.99",479.76,"1,095.13"
"21,696.00","21,743.99",478.76,"1,094.13"
"21,744.00","21,791.99",477.76,"1,093.13"
"21,792.00","21,839.99",476.76,"1,092.13"
"21,840.00","21,887.99",475.76,"1,091.13"
"21,888.00","21,935.99",474.76,"1,090.13"
"21,936.00","21,983.99",473.76,"1,089.13"
"21,984.00","22,031.99",472.76,"1,088.13"
"22,032.00","22,079.99",471.76,"1,087.13"
"22,080.00","22,127.99",470.76,"1,086.13"
"22,128.00","22,175.99",469.76,"1,085.13"
"22,176.00","22,223.99",468.76,"1,084.13"
"22,224.00","22,271.99",467.76,"1,083.13"
"22,272.00","22,319.99",466.76,"1,082.13"
"22,320.00","22,367.99",465.76,"1,081.13"
"22,368.00","22,415.99",464.76,"1,080.13"
"22,416.00","22,463.99",463.76,"1,079.13"
"22,464.00","22,511.99",462.76,"1,078.13"
"22,512.00","22,559.99",461.76,"1,077.13"
"22,560.00","22,607.99",460.76,"1,076.13"
"22,608.00","22,655.99",459.76,"1,075.13"
"22,656.00","22,703.99",458.76,"1,074.13"
"22,704.00","22,751.99",457.76,"1,073.13"
"22,752.00","22,799.99",456.76,"1,072.13"
"22,800.00","22,847.99",455.76,"1,071.13"
"22,848.00","22,895.99",454.76,"1,070.13"
"22,896.00","22,943.99",453.76,"1,069.13"
"22,944.00","22,991.99",452.76,"1,068.13"
"22,992.00","23,039.99",451.76,"1,067.13"
"23,040.00","23,087.99",450.76,"1,066.13"
"23,088.00","23,135.99",449.76,"1,065.13"
"23,136.00","23,183.99",448.76,"1,064.13"
"23,184.00","23,231.99",447.76,"1,063.13"
"23,232.00","23,279.99",446.76,"1,062.13"
"23,280.00","23,327.99",445.76,"1,061.13"
"23,328.00","23,375.99",444.76,"1,060.13"
"23,376.00","23,423.99",443.76,"1,059.13"
"23,424.00","23,471.99",442.76,"1,058.13"
"23,472.00","23,519.99",441.76,"1,057.13"
"23,520.00","23,567.99",440.76,"1,056.13"
"23,568.00","23,615.99",439.76,"1,055.13"
"23,616.00","23,663.99",438.76,"1,054.13"
"23,664.00","23,711.99",437.76,"1,053.13"
"23,712.00","23,759.99",436.76,"1,052.13"
"23,760.00","23,807.99",435.76,"1,051.13"
"23,808.00","23,855.99",434.76,"1,050.13"
"23,856.00","23,903.99",433.76,"1,049.13"
"23,904.00","23,951.99",432.76,"1,048.13"
"23,952.00","23,999.99",431.76,"1,047.13"
"24,000.00","24,047.99",430.76,"1,046.13"
"24,048.00","24,095.99",429.76,"1,045.13"
"24,096.00","24,143.99",428.76,"1,044.13"
"24,144.00","24,191.99",427.76,"1,043.13"
"24,192.00","24,239.99",426.76,"1,042.13"
"24,240.00","24,287.99",425.76,"1,041.13"
"24,288.00","24,335.99",424.76,"1,040.13"
