from,to,gis,gis&oas
#Amount Effective from January to March 2021/Montant en vigueur en janvier � mars 2021,,,
#Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Monthly GIS with Maximum OAS Pension for each recipient ($),Combined Monthly OAS Pension and GIS ($)
#Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) � ($),SRG mensuel pour montant maximal de la pension de la SV pour chaque b�n�ficiaire ($),Total mensuel de la pension de la SV et du SRG ($)
"14,256.00","14,303.99",215.94,831.31
"14,304.00","14,351.99",214.94,830.31
"14,352.00","14,399.99",213.94,829.31
"14,400.00","14,447.99",212.94,828.31
"14,448.00","14,495.99",211.94,827.31
"14,496.00","14,543.99",210.94,826.31
"14,544.00","14,591.99",209.94,825.31
"14,592.00","14,639.99",208.94,824.31
"14,640.00","14,687.99",207.94,823.31
"14,688.00","14,735.99",206.94,822.31
"14,736.00","14,783.99",205.94,821.31
"14,784.00","14,831.99",204.94,820.31
"14,832.00","14,879.99",203.94,819.31
"14,880.00","14,927.99",202.94,818.31
"14,928.00","14,975.99",201.94,817.31
"14,976.00","15,023.99",200.94,816.31
"15,024.00","15,071.99",199.94,815.31
"15,072.00","15,119.99",198.94,814.31
"15,120.00","15,167.99",197.94,813.31
"15,168.00","15,215.99",196.94,812.31
"15,216.00","15,263.99",195.94,811.31
"15,264.00","15,311.99",194.94,810.31
"15,312.00","15,359.99",193.94,809.31
"15,360.00","15,407.99",192.94,808.31
"15,408.00","15,455.99",191.94,807.31
"15,456.00","15,503.99",190.94,806.31
"15,504.00","15,551.99",189.94,805.31
"15,552.00","15,599.99",188.94,804.31
"15,600.00","15,647.99",187.94,803.31
"15,648.00","15,695.99",186.94,802.31
"15,696.00","15,743.99",185.94,801.31
"15,744.00","15,791.99",184.94,800.31
"15,792.00","15,839.99",183.94,799.31
"15,840.00","15,887.99",182.94,798.31
"15,888.00","15,935.99",181.94,797.31
"15,936.00","15,983.99",180.94,796.31
"15,984.00","16,031.99",179.94,795.31
"16,032.00","16,079.99",178.94,794.31
"16,080.00","16,127.99",177.94,793.31
"16,128.00","16,175.99",176.94,792.31
