Amount Effective from January to March 2021/Montant en vigueur en janvier à mars 2021,,
Yearly Income (excluding Allowance for the Survivor) From ($),Yearly Income (excluding Allowance for the Survivor) To ($),Monthly Allowance for the Survivor ($)
Revenu annuel (excluant l'Allocation au survivant) De ($),Revenu annuel (excluant l'Allocation au survivant) À ($),Allocation mensuelle au survivant ($)
"13,320.00","13,343.99",492.35
"13,344.00","13,367.99",491.35
"13,368.00","13,391.99",490.35
"13,392.00","13,415.99",489.35
"13,416.00","13,439.99",488.35
"13,440.00","13,463.99",487.35
"13,464.00","13,487.99",486.35
"13,488.00","13,511.99",485.35
"13,512.00","13,535.99",484.35
"13,536.00","13,559.99",483.35
"13,560.00","13,583.99",482.35
"13,584.00","13,607.99",481.35
"13,608.00","13,631.99",480.35
"13,632.00","13,655.99",479.35
"13,656.00","13,679.99",478.35
"13,680.00","13,703.99",477.35
"13,704.00","13,727.99",476.35
"13,728.00","13,751.99",475.35
"13,752.00","13,775.99",474.35
"13,776.00","13,799.99",473.35
"13,800.00","13,823.99",472.35
"13,824.00","13,847.99",471.35
"13,848.00","13,871.99",470.35
"13,872.00","13,895.99",469.35
"13,896.00","13,919.99",468.35
"13,920.00","13,943.99",467.35
"13,944.00","13,967.99",466.35
"13,968.00","13,991.99",465.35
"13,992.00","14,015.99",464.35
"14,016.00","14,039.99",463.35
"14,040.00","14,063.99",462.35
"14,064.00","14,087.99",461.35
"14,088.00","14,111.99",460.35
"14,112.00","14,135.99",459.35
"14,136.00","14,159.99",458.35
"14,160.00","14,183.99",457.35
"14,184.00","14,207.99",456.35
"14,208.00","14,231.99",455.35
"14,232.00","14,255.99",454.35
"14,256.00","14,279.99",453.35
"14,280.00","14,303.99",452.35
"14,304.00","14,327.99",451.35
"14,328.00","14,351.99",450.35
"14,352.00","14,375.99",449.35
"14,376.00","14,399.99",448.35
"14,400.00","14,423.99",447.35
"14,424.00","14,447.99",446.35
"14,448.00","14,471.99",445.35
"14,472.00","14,495.99",444.35
"14,496.00","14,519.99",443.35
"14,520.00","14,543.99",442.35
"14,544.00","14,567.99",441.35
"14,568.00","14,591.99",440.35
"14,592.00","14,615.99",439.35
"14,616.00","14,639.99",438.35
"14,640.00","14,663.99",437.35
"14,664.00","14,687.99",436.35
"14,688.00","14,711.99",435.35
"14,712.00","14,735.99",434.35
"14,736.00","14,759.99",433.35
"14,760.00","14,783.99",432.35
"14,784.00","14,807.99",431.35
"14,808.00","14,831.99",430.35
"14,832.00","14,855.99",429.35
"14,856.00","14,879.99",428.35
"14,880.00","14,903.99",427.35
"14,904.00","14,927.99",426.35
"14,928.00","14,951.99",425.35
"14,952.00","14,975.99",424.35
"14,976.00","14,999.99",423.35
"15,000.00","15,023.99",422.35
"15,024.00","15,047.99",421.35
"15,048.00","15,071.99",420.35
"15,072.00","15,095.99",419.35
"15,096.00","15,119.99",418.35
"15,120.00","15,143.99",417.35
"15,144.00","15,167.99",416.35
